英雄,关键词,胜率,图片链接,本月使用人数,本月使用人数排名,热门物品,技能,天赋
影魔,nevermore,47.3278,http://cdn.max-c.com/app/dota2/nevermore@3x.png,2589706,30,"['黑皇杖', '怨灵系带', 'Eul的神圣法杖', '动力鞋', '闪烁匕首', '远行鞋', '魔瓶', '影刃', '阿哈利姆神杖']","['[毁灭阴影 ] 影魔对其正前方区域释放毁灭能量，对该区域中的敌人造成伤害。在目标身上施加一个连中效果，持续时间内再被毁灭阴影击中将受到额外伤害。  tips: 连中效果的持续时间在每次连中时刷新。 ', '[毁灭阴影 ] 影魔对其正前方区域释放毁灭能量，对该区域中的敌人造成伤害。在目标身上施加一个连中效果，持续时间内再被毁灭阴影击中将受到额外伤害。  tips: 连中效果的持续时间在每次连中时刷新。 ', '[毁灭阴影 ] 影魔对其正前方区域释放毁灭能量，对该区域中的敌人造成伤害。在目标身上施加一个连中效果，持续时间内再被毁灭阴影击中将受到额外伤害。  tips: 连中效果的持续时间在每次连中时刷新。 ', '[支配死灵 ] 影魔每杀死一个单位都会窃取其灵魂，获得额外的攻击力。杀死一个英雄将获得12个灵魂。影魔死亡时一半的灵魂将逃离他的束缚。  可用神杖升级。  tips: 反补、杀死中立生物也能收集到灵魂。 ', '[魔王降临 ] 影魔的出现使得周围的敌人护甲降低。  tips: 与其他降低护甲的技能和光环完全叠加。 ', '[魂之挽歌 ] 影魔聚集捕获的灵魂，以多道魔能的形式释放。若距离影魔过近将受到数道魔能的伤害。敌方单位受到魂之挽歌伤害的同时，移动速度和攻击力均会降低。每2个通过支配死灵收集的灵魂会为魂之挽歌创造一道魔能。死亡时会自动释放魂之挽歌，不占用主动大招的冷却时间。  可用神杖升级。  tips: 根据影魔收集的灵魂数量，每2个灵魂会产生1道伤害波，伤害波数量上限为18道（神杖升级后为23道）。 魂之挽歌的移动速度减缓和攻击力降低效果均无视技能免疫。 ']","['天赋1：', '+20 攻击速度', '+8% 技能增强', '天赋2：', '+30 移动速度', '魔王降临影响建筑', '天赋3：', '+150 毁灭阴影伤害', '+2 攻击力/灵魂', '天赋4：', '40% 冷却时间减少', '-5 魔王降临护甲削弱']"
幻影长矛手,phantom_lancer,47.9275,http://cdn.max-c.com/app/dota2/phantom_lancer@3x.png,1191350,73,"['净魂之刃', '动力鞋', '幻影斧', '怨灵系带', '恐鳌之心', '魔杖', '斯嘉蒂之眼', '蝴蝶', '压制之刃']","['[灵魂之矛 ] 对敌方目标单位投出一支有魔力的灵魂之矛，造成伤害并减速，同时召唤一个幻象攻击该单位。  可用神杖升级。  tips: 附近的幻象也会模仿施法动作。 ', '[神行百变 ] 幻影长矛手暂时从战场上消失。经过1秒，幻影长矛手和附近的所有幻象都会出现在目标地点的随机位置，并产生两个新的幻象。施放技能后延长所有幻象的持续时间。新加的两个幻象拥有不同的特性：一个承受正常百分比的伤害，不具有攻击力，另一个承受600%的伤害，继承20%的攻击力。  驱散类型：弱驱散  tips: 这个技能可以躲避攻击和技能弹道，并且驱散负面效果。 重新现身的单位附近的树木将会被摧毁。 幻影长矛手和他的队友可以分辨出哪个幻象承受100%伤害。 ', '[幻影冲锋 ] 对目标发动攻击后，幻影长矛手将快速向其冲去，到达目标时将获得短暂的敏捷提升。幻影长矛手的幻象也将继承此技能。  tips: 如果冲锋中途取消攻击指令，那么移动速度加成就会消失。 冲锋过程中移动速度为800。 ', '[并列 ] 幻影长矛手的存在有一定几率会破碎，产生自身的幻象。幻象也有几率进一步破碎，再产生幻象。幻影长矛手产生的幻象持续8秒，幻象产生的幻象则持续4秒。  tips: 攻击时由并列产生的幻象将自动攻击原攻击目标。 ']","['天赋1：', '+20 攻击速度', '20% 闪避', '天赋2：', '+125 灵魂之矛伤害', '+275 生命', '天赋3：', '+5 并列幻象上限', '+500 幻影冲锋距离', '天赋4：', '+30% 致命一击（2倍）', '-6秒 神行百变冷却']"
帕克,puck,43.6717,http://cdn.max-c.com/app/dota2/puck@3x.png,707359,104,"['闪烁匕首', '空灵挂件', 'Eul的神圣法杖', '动力鞋', '魔瓶', '达贡之神力', '魔杖', '远行鞋', '林肯法球']","['[幻象法球 ] 帕克向直线方向发出一个魔法球，对经过路径上的敌人造成伤害。在幻象法球飞行过程中，帕克可以使用灵动之翼来传送到法球所在的位置。  tips: 幻象法球在飞行途中提供顺畅视野。 将自己传送到幻象法球可以躲避攻击和技能弹道。 ', '[新月之痕 ] 帕克洒出它神秘的仙女粉尘，对周围的敌人造成伤害并使其沉默。 ', '[相位转移 ] 帕克暂时将自己转移到另一个位面，从而免疫伤害。  tips: 帕克在相位转移状态下依然具有碰撞体积。 进行任何动作都会中止相位转移。 帕克在相位转移状态下无敌。 ', '[灵动之翼 ] 让帕克能传送到幻象法球所在的位置。 ', '[梦境缠绕 ] 创造一个变化无常的的魔法梦境来困住敌方英雄，对他们造成0.5秒的眩晕。如果被困住的敌方英雄试图挣脱缠绕走出梦境，将因为梦境破碎而再次受到伤害和眩晕。  可用神杖升级。 ']","['天赋1：', '+150 施法距离', '+6 全属性', '天赋2：', '+90 攻击力', '+15% 技能增强', '天赋3：', '+40% 幻象法球距离/速度', '-8秒 新月之痕冷却', '天赋4：', '梦境缠绕快速攻击', '+420 金钱/分']"
帕吉,pudge,52.5409,http://cdn.max-c.com/app/dota2/pudge@3x.png,10174549,1,"['静谧之鞋', '闪烁匕首', '刃甲', '以太透镜', '洞察烟斗', '魔杖', '护腕', '魂之灵瓮', '阿托斯之棍']","['[肉钩 ] 向一个单位或方向射出血腥的肉钩。勾住第一个遭遇的单位，并将它拖到帕吉身边，如果是敌人的话将造成伤害。  可用神杖升级。  tips: 钩中敌人后将打断持续施法类技能。 肉钩能击中隐身单位。 肉钩可以穿过树木，地形和建筑。 肉钩可以拖拽友方单位，不过他们不会受到伤害。 ', '[腐烂 ] 能够造成持续伤害并减缓敌人移动速度的毒性云雾——同时对敌军和自身造成伤害。  tips: 使用腐烂不会打断持续施法。 腐烂能伤害隐身单位。 即使帕吉在开启腐烂后被沉默，腐烂也不会关闭。 帕吉可以用该技能将自己反补。 ', '[腐肉堆积 ] 给予帕吉生命恢复加成，并且帕吉每次杀死一个敌方英雄，或者附近有敌方英雄死亡时，帕吉将获得额外的力量。腐肉堆积在学习之前就可以积累力量，但是学习之后才能获得这部分力量。  tips: 与其他提高魔法抗性的物品和技能叠加。 ', '[肢解 ] 持续施法 - 帕吉撕咬一个敌方单位，使其失去行动能力并受到持续伤害。帕吉将回复与伤害量相等的生命。对英雄持续3秒，对普通单位持续6秒。  tips: 肢解的眩晕作用效果无视技能免疫，但是不能造成伤害。 即使单位受到肢解的过程中隐身，肢解的效果也不会中断。 ']","['天赋1：', '+35 腐烂伤害', '+30% 经验获取', '天赋2：', '+20% 腐烂减速', '13% 技能吸血', '天赋3：', '15% 冷却时间减少', '+180 金钱/分', '天赋4：', '+2.0 腐肉堆积叠加力量', '+3秒 肢解持续时间']"
剃刀,razor,47.1356,http://cdn.max-c.com/app/dota2/razor@3x.png,932022,89,"['相位鞋', '黑皇杖', '散夜对剑', '怨灵系带', '魔杖', '韧鼓', '阿哈利姆神杖', '阿托斯之棍', '希瓦的守护']","['[等离子场 ] 释放一波威力随扩张程度提升的等离子能量场，收缩时也会对经过的敌人造成伤害和减速。距离剃刀越远，伤害和减速越高。等离子场对每个单位造成两次伤害。 ', '[静电连接 ] 在剃刀和一个敌方英雄之间创造静电连接，吸取目标的攻击力给剃刀。  tips: 链接在一方单位死亡或双方距离超过800后断裂（拥有以太透镜则是1050）。 可以对技能免疫单位施放。 ', '[不稳定电流 ] 被动提升剃刀的移动速度，每隔若干时间对区域内所有单位造成若干伤害。 ', '[风暴之眼 ] 强大的闪电风暴，打击生命值最低的敌方单位，造成伤害并削弱护甲。  可用神杖升级。  tips: 每次打击都会以范围内血量最低的敌方单位为目标。 风暴之眼优先打击受到静电连接作用的英雄。 ']","['天赋1：', '+15 敏捷', '+225 生命', '天赋2：', '+4% 不稳定电流移动速度', '+7 静电连接攻击力吸取', '天赋3：', '-0.1 风暴之眼打击间隔', '+10 护甲', '天赋4：', '+200 不稳定电流伤害', '+100 攻击速度']"
沙王,sand_king,51.7805,http://cdn.max-c.com/app/dota2/sand_king@3x.png,2124613,41,"['闪烁匕首', '奥术鞋', '纷争面纱', '魔杖', '阿哈利姆神杖', 'Eul的神圣法杖', '圆盾', '洞察烟斗', '清莲宝珠']","['[掘地穿刺 ] 沙王钻入地面挖掘隧道前进，穿出地面时伤害并眩晕上方的敌方单位。  可用神杖升级。 ', '[沙尘暴 ] 沙王制造一起可怕的沙尘暴，伤害敌方单位的同时隐匿沙王自身。沙王离开该区域后效果结束。  tips: 沙尘暴可以用来躲避攻击和技能弹道。 ', '[腐尸毒 ] 沙王的攻击会给敌方单位注入毒液，持续时间结束或中毒单位死亡时发生剧烈爆炸，造成范围伤害和移动速度减缓效果。持续时间结束时造成较低伤害。  tips: 该状态下的单位即使没有被沙王亲手杀死也会爆炸。 状态效果对友方单位无效。 ', '[地震 ] 持续施法 - 在2秒吟唱后，沙王向地中发送扰动，引起大地剧烈震动。所有范围内的敌人会受到伤害并被减速。每次后续震击都会提高伤害传播半径。  tips: 地震波将以沙王为中心，而不是他施放技能的地点。 地震波的作用范围将会逐渐增大：275/325/375/425/475/525/575/650/675/700。 ']","['天赋1：', '+200 生命', '+20 移动速度', '天赋2：', '-50 地震攻速降低', '+40 沙尘暴每秒伤害', '天赋3：', '+4 地震波数', '+10 护甲', '天赋4：', '50% 沙尘暴减速和致盲', '+50 生命恢复']"
风暴之灵,storm_spirit,47.7462,http://cdn.max-c.com/app/dota2/storm_spirit@3x.png,2490343,33,"['动力鞋', '魔瓶', '慧光', '血精石', '紫怨', '空灵挂件', '林肯法球', '黑皇杖', '血棘']","['[残影 ] 风暴之灵制造一个充满爆炸性能量的自身残影，如果有人接近就会引爆造成伤害，残影持续12秒。  tips: 残影在技能施放1秒后才能实体化。 残影在持续时间内拥有顺畅视野。 残影爆炸将伤害260码作用范围内的单位，但是触发范围是235码。 ', '[电子涡流 ] 操控一个涡流，将一个敌方单位拖到风暴之灵所在位置。  可用神杖升级。 ', '[超负荷 ] 施法时会产生电荷，在风暴之灵下次攻击时被释放，对附近敌人造成伤害并减速。  tips: 使用物品不会触发超负荷。 ', '[球状闪电 ] 风暴之灵变成不稳定的电流在战场上横冲直撞，直到他的魔法耗尽或到达目标才停下。施法消耗为30+总魔法量的8%，每移动100距离消耗12+总魔法量的0.7%，本技能造成的伤害每飞行100距离就会递增。  tips: 行进过程中可以使用瞬发技能。 该技能可以摧毁树木。 风暴之灵在球状闪电期间是无敌状态。 ']","['天赋1：', '+3 魔法恢复', '+30 超负荷伤害', '天赋2：', '+400 生命', '+80 残影伤害', '天赋3：', '+30 攻击速度', '+0.5秒 电子涡流持续时间', '天赋4：', '球状闪电每500距离施放残影', '超负荷无视技能免疫']"
斯温,sven,49.3481,http://cdn.max-c.com/app/dota2/sven@3x.png,2720680,28,"['回音战刃', '闪烁匕首', '黑皇杖', '动力鞋', '代达罗斯之殇', '相位鞋', '迈达斯之手', '疯狂面具', '强袭胸甲']","['[风暴之拳 ] 斯温用他充满魔力的手套对敌人造成伤害和眩晕。 ', '[巨力挥舞 ] 斯温以巨力攻击，并对所有附近的敌方单位造成分裂攻击伤害。  tips: 分裂伤害会根据护甲类型有所减少，但是与护甲数值无关。 分裂伤害无视技能免疫。 分裂攻击将对斯温前方的圆形区域。 ', '[战吼 ] 斯温的战吼激励着同伴作战，提升他们的移动速度，并使他们加持一面攻击伤害护盾。护盾被消耗后效果提前结束。护盾的生命值随着斯温的力量值增长而提升。  tips: 与其他提升护甲和速度的技能完全叠加。 ', '[神之力量 ] 斯温爆发出他流浪剑客的力量，获得25秒的攻击力提升。  可用神杖升级。  tips: 额外攻击力是基于斯温的基础攻击力和主属性数值。 ']","['天赋1：', '+3 魔法恢复', '+8 力量', '天赋2：', '风暴之拳带驱散', '+30 移动速度', '天赋3：', '-6秒 风暴之拳冷却', '25% 吸血', '天赋4：', '+1.25秒 风暴之拳眩晕', '+40 神之力量额外力量']"
小小,tiny,44.3449,http://cdn.max-c.com/app/dota2/tiny@3x.png,1490932,62,"['闪烁匕首', '回音战刃', '动力鞋', '阿哈利姆神杖', '魔杖', '影刃', '魔瓶', '代达罗斯之殇', '奥术鞋']","['[山崩 ] 用岩石轰炸一块区域，对敌方单位造成短间隔的伤害并眩晕。山崩对被投掷的单位造成3倍伤害。  tips: 在1秒持续时间内造成多次伤害。 ', '[投掷 ] 抓起小小附近275范围内最近的单位（敌我皆可），然后投向目标单位或神符，对落地点周围的敌人造成伤害。如果被投掷的是敌方单位，那么这个单位会受到30%的额外伤害。  tips: 你可以投掷队友，但他们不会受到伤害。 投掷对建筑物造成33%的伤害。 投掷对建筑物造成33%的伤害。 ', '[抓树 ] 抓起一棵树砸向敌人的头，可以使用一定次数。攻击距离得到提升。攻击造成更多伤害（对建筑有效），并且路径上的单位受到全额溅射伤害。可以将树木扔出，耗尽所有使用次数，对远距离的敌人造成攻击伤害。  tips: 耗尽攻击次数后技能进入冷却。 ', '[树木连掷 ] 每0.4秒将自身525范围内一棵随机树木扔向目标范围。对该区域内敌人造成自身攻击力的120%。 ', '[长大 ] 小小崎岖的身体不断成长，提升了力量。 ', '[扔树 ] 耗尽剩余的抓树攻击次数，将树木扔向目标单位，触发自身对其的攻击，并且对周围目标造成溅射伤害。 ']","['天赋1：', '+30 攻击力', '+20 移动速度', '天赋2：', '+100 山崩伤害', '+400 生命', '天赋3：', '投掷不需要目标', '-7秒 抓树冷却', '天赋4：', '3 投掷能量点数', '-9秒 山崩冷却']"
复仇之魂,vengefulspirit,52.4873,http://cdn.max-c.com/app/dota2/vengefulspirit@3x.png,1030536,83,"['魔杖', '动力鞋', '静谧之鞋', '原力法杖', '勇气勋章', '怨灵系带', '以太透镜', '侦查·岗哨守卫', '奥术鞋']","['[魔法箭 ] 向一个敌方单位射出魔法箭，眩晕并造成伤害。 ', '[恐怖波动 ] 复仇之魂放出邪恶的嚎叫，削弱敌人的护甲并打开前方经过路径的视野。 ', '[复仇光环 ] 复仇之魂的存在提高了附近友方单位的物理攻击力。复仇之魂死亡时会产生复仇幻象，持续到英雄复活。  tips: 光环提供的攻击力加成是基于基础攻击力和主属性数值。 ', '[移形换位 ] 与一个目标英雄瞬间交换位置，无论敌我。移形换位打断目标的持续施法。  可用神杖升级。  tips: 对技能免疫单位有效。 技能施放后复仇之魂和目标附近的树木将会被摧毁。 移形换位能够打断持续施法。 ']","['天赋1：', '-1 恐怖波动护甲', '+15% 魔法抗性', '天赋2：', '-6秒 恐怖波动冷却', '+15 敏捷', '天赋3：', '+15% 复仇光环攻击力', '-6秒 魔法箭冷却', '天赋4：', '魔法箭无视技能免疫', '+400 魔法箭伤害']"
风行者,windrunner,53.1121,http://cdn.max-c.com/app/dota2/windrunner@3x.png,6457250,3,"['相位鞋', '漩涡', '空灵挂件', '金箍棒', '黑皇杖', '阿哈利姆神杖', '闪烁匕首', '魔杖', '林肯法球']","['[束缚击 ] 将目标束缚在正对其后的一个敌方单位或树上。若目标后面没有其它敌方单位或树木，则眩晕时间减少至0.75秒。  tips: 该技能可以将两个敌人一起束缚，使他们同时眩晕。 束缚击能将目标束缚在身后最多距离525码的敌方单位或500码的树木。 束缚击可以被躲避。 ', '[强力击 ] 风行者为她的弓蓄力，射出一支强力的箭矢，最长可蓄力1秒，其间可以打断蓄力，蓄力时间越长箭矢伤害越高。这支箭会对穿过的所有敌方单位造成伤害，并破坏树木。每伤害一个单位，箭矢的伤害都会降低20%。  tips: 强力击将摧毁作用范围内的树木。 ', '[风行 ] 提升移动速度并闪避一切物理攻击，同时降低周围敌人的移动速度。  可用神杖升级。  tips: 风行能够躲避在开启技能前产生的攻击和技能弹道。 ', '[集中火力 ] 风行者受风的引领，攻击敌方单位或建筑的攻击速度增加450，但是攻击力降低。不过次级物品效果的触发伤害不会降低。持续20秒。  tips: 能够以建筑和技能免疫单位为目标。 ']","['天赋1：', '-2秒 束缚击冷却', '+3 魔法恢复', '天赋2：', '+125 攻击距离', '+125 强力击伤害', '天赋3：', '风行提供隐身效果', '+1秒 束缚击眩晕', '天赋4：', '30% 冷却时间减少', '-20% 集中火力降低攻击力']"
宙斯,zuus,54.744,http://cdn.max-c.com/app/dota2/zuus@3x.png,2729397,26,"['阿哈利姆神杖', '以太透镜', '奥术鞋', '空灵挂件', '魔瓶', '慧光', 'Eul的神圣法杖', '刷新球', '远行鞋']","['[弧形闪电 ] 释放一道会跳跃穿越附近敌人的闪电。 ', '[雷击 ] 召唤一道闪电打击一个敌方单位，造成伤害及短暂眩晕。施放后，雷击在目标周围750范围内提供空中视野和真实视域。本技能可以对地施放，将会自动作用于325范围内最近的敌方英雄上。  tips: 该技能可以打断持续施法类技能和物品。 ', '[静电场 ] 宙斯的技能击中任意敌人时都会使他们额外被电击，造成他们当前生命值一定百分比的伤害。  tips: 静电场造成的伤害要先于当时使用的技能所造成的伤害。 使用物品不会触发静电场。 静电场的作用效果无需己方视野。 ', '[雷云 ] 在地图任意地点创造一朵雷云，雷云将自动对附近敌人施放雷击。  tips: 敌方英雄将其摧毁后可以获得100金。 作用于最近的敌方单位。 ', '[雷神之怒 ] 用闪电打击所有敌方英雄，无论他们身在何处。雷神之怒还会提供每个受攻击的英雄周围的真实视域。隐身的英雄不会受到伤害，但你依然会获得他所在之处的真实视域。 ']","['天赋1：', '+25% 经验获取', '+3 魔法恢复', '天赋2：', '+1.5% 静电场伤害', '+30 移动速度', '天赋3：', '+0.5秒 雷击眩晕', '15% 冷却时间减少', '天赋4：', '+155 弧形闪电伤害', '+275 施法距离']"
昆卡,kunkka,49.1648,http://cdn.max-c.com/app/dota2/kunkka@3x.png,2569342,31,"['相位鞋', '代达罗斯之殇', '护腕', '影刃', '黑皇杖', '魔瓶', '水晶剑', '魔杖', '莫尔迪基安的臂章']","['[洪流 ] 召唤喷涌的洪流，短暂延迟后，将敌人冲上天，造成伤害、眩晕和减速。  tips: 初始泡泡效果仅对队友可见。 飞到半空的单位将会被眩晕并且可以被攻击。 ', '[潮汐使者 ] 昆卡的传奇之剑使他的下一次攻击附加额外的攻击力并在前方造成大范围的分裂攻击伤害。  tips: 分裂伤害无视技能免疫。 分裂伤害无视技能免疫。 ', '[X标记 ] 对友方或敌方英雄使用，用 X 标记他们当前位置，数秒后将他们送回 X 标记处。在技能持续时间内，昆卡可以手动触发送回。对友方英雄使用后持续时间加倍。  tips: 如果目标在技能施放后进入技能免疫状态，持续时间结束后目标将不会回到标记点。 可以打断持续施法。 ', '[幽灵船 ] 召唤一艘幽灵船驶过战场，直到撞成粉碎，残骸周围的敌人将会因撞击受到伤害并眩晕。友军被泡在舰队统帅的朗姆酒中，移动速度提升并对受到的伤害反应麻木，一定百分比的伤害将会延后到持续时间结束时结算。  可用神杖升级。  tips: 在朗姆酒效果消失后造成的伤害不能致死，而且不能杀死英雄。 幽灵船实际的碰撞范围比船本身大。 幽灵船的移动速度为650。 ', '[送回 ] 将标记的英雄送回X位置。 ']","['天赋1：', '+6 护甲', '+40 攻击力', '天赋2：', '+120 洪流伤害', '+12 生命恢复', '天赋3：', '+25 力量', '+100 洪流范围', '天赋4：', '+60% 潮汐使者分裂', '幽灵船舰队']"
莉娜,lina,45.6231,http://cdn.max-c.com/app/dota2/lina@3x.png,2435017,34,"['Eul的神圣法杖', '空灵挂件', '阿哈利姆神杖', '影刃', '奥术鞋', '以太透镜', '相位鞋', '远行鞋', '魔瓶']","['[龙破斩 ] 莉娜引导龙的吐息，放出一波火焰，烧焦所有波及的敌人。  tips: 龙破斩最远能伤害距离1225码的单位。 ', '[光击阵 ] 召唤柱状火焰伤害并眩晕敌人。  tips: 光击阵将摧毁作用范围内的树木。 ', '[炽魂 ] 莉娜每次施法都会给她带来攻击和移动速度提升。可以叠加。持续10秒。  tips: 每次施放技能都会刷新持续时间。 使用物品不会触发炽魂。 ', '[神灭斩 ] 对单个敌方单位射出闪电，造成大量伤害。  可用神杖升级。  tips: 神灭斩在技能施放到伤害生效有0.25秒延迟，因此有若干技能可以躲避该伤害。 ']","['天赋1：', '+125 施法距离', '+30 攻击力', '天赋2：', '+140 光击阵伤害', '+350 生命', '天赋3：', '+30/2% 炽魂每次叠加', '+14% 技能增强', '天赋4：', '+175 攻击距离', '-6秒 龙破斩冷却']"
莱恩,lion,49.1794,http://cdn.max-c.com/app/dota2/lion@3x.png,7105405,2,"['静谧之鞋', '闪烁匕首', '阿哈利姆神杖', '魔杖', '以太透镜', '侦查·岗哨守卫', '幽魂权杖', '显影之尘', '空灵挂件']","['[裂地尖刺 ] 岩石尖刺在地上沿一条直线穿刺而出。敌方单位被抛向空中，落地时被眩晕并受到伤害。  tips: 尖刺的移动速度是每秒1600码。 ', '[妖术 ] 将一个敌方单位变成人畜无害的动物，受害者无法使用所有特殊能力。  tips: 即刻摧毁幻象。 目标的基础移动速度为140，但是如果目标有满速状态则移速不受影响。 ', '[法力吸取 ] 持续施法 - 从一个敌方单位吸取魔法能量，每秒回复自己一定的魔法值。  tips: 立刻摧毁幻象。 ', '[死亡之指 ] 撕裂一个敌方单位，将其折磨得死去活来，并造成巨大伤害。每次成功击杀英雄都会提升威力。  可用神杖升级。  tips: 死亡一指在技能施放到伤害生效有0.25秒延迟，因此有若干技能可以躲避该伤害。 ']","['天赋1：', '+90 攻击力', '+100 施法距离', '天赋2：', '+150 金钱/分', '+200 死亡之指伤害', '天赋3：', '+2 法力吸取多个目标', '+500 生命', '天赋4：', '+325 范围型妖术', '+1000 裂地尖刺距离']"
暗影萨满,shadow_shaman,51.1484,http://cdn.max-c.com/app/dota2/shadow_shaman@3x.png,3206572,18,"['奥术鞋', '以太透镜', '闪烁匕首', '魔杖', '侦查·岗哨守卫', '阿哈利姆神杖', '微光披风', '静谧之鞋', '显影之尘']","['[苍穹震击 ] 利用虚空能量制造出分叉的闪电，打击多个敌方单位。  tips: 最远可以伤害距离1000码的次级单位。 ', '[妖术 ] 将一个敌方单位变成人畜无害的动物，使其无法攻击和使用技能。  tips: 立即摧毁幻象。 目标的基础移动速度为100，但是如果目标有满速状态则移速不受影响。 妖术将使伤害格挡无效。 ', '[枷锁 ] 持续施法 - 使用魔法绑住一个敌方单位，使其无法攻击和移动，同时持续造成伤害。 ', '[群蛇守卫 ] 召唤10支毒蛇守卫来攻击敌方单位和建筑。守卫对魔法免疫。每个守卫受到两次攻击就会被摧毁。  可用神杖升级。 ']","['天赋1：', '+20% 经验获取', '+200 生命', '天赋2：', '-5秒 妖术冷却', '+125 施法距离', '天赋3：', '+1 群蛇守卫可被攻击次数', '+2.5秒 枷锁持续时间', '天赋4：', '+50 群蛇守卫攻击力', '+400 苍穹震击伤害']"
斯拉达,slardar,49.2585,http://cdn.max-c.com/app/dota2/slardar@3x.png,2032971,43,"['闪烁匕首', '动力鞋', '黑皇杖', '魔杖', '回音战刃', '圆盾', '相位鞋', '压制之刃', '护腕']","['[守卫冲刺 ] 斯拉达向前蜿行，移动速度得到显著提升，并且可以穿越单位。斯拉达在河道中移动速度突破限制，并获得移动速度加成。  tips: 开启此技能不会打断持续施法。 ', '[鱼人碎击 ] 猛击地面，对附近地面单位造成伤害并眩晕。眩晕结束后还会受到减速。  可用神杖升级。 ', '[深海重击 ] 攻击3次后，下次攻击将击晕目标。  tips: 眩晕效果无视技能免疫。 不能与碎颅锤叠加。 ', '[侵蚀雾霭 ] 削弱敌人的护甲，加深他受到的物理伤害，同时提供目标的真实视域，显示隐身单位。  tips: 给予目标的真实视域和视野。 效果无视技能免疫。 ']","['天赋1：', '+25 攻击力', '+8 生命恢复', '天赋2：', '+75 深海重击伤害', '+350 生命', '天赋3：', '+1000 夜间视野', '30% 吸血', '天赋4：', '侵蚀雾霭不可驱散', '-4.5秒 鱼人碎击冷却']"
潮汐猎人,tidehunter,51.2321,http://cdn.max-c.com/app/dota2/tidehunter@3x.png,1397780,63,"['闪烁匕首', '魔杖', '奥术鞋', '卫士胫甲', '弗拉迪米尔的祭品', '洞察烟斗', '护腕', '相位鞋', '压制之刃']","['[巨浪 ] 召唤一股巨浪攻击一个敌方单位，减速并削弱护甲。持续4秒。  可用神杖升级。 ', '[海妖外壳 ] 加厚潮汐猎人的外皮，可以被动格挡物理伤害，当受到的伤害达到临界值时外皮还将移除绝大多数负面效果。  不与带有伤害格挡的物品叠加。  驱散类型：强驱散  tips: 只有玩家控制单位造成的伤害才会计算在移除负面状态的累计伤害中。 如果6秒内没有受到来自玩家的伤害，伤害累计值将重置。 海妖外壳能移除绝大多数负面状态，即使该状态效果无法驱散。 ', '[锚击 ] 潮汐猎人挥动他巨大的锚，攻击附近敌人并造成额外伤害，同时降低他们的攻击力。  tips: 锚击对远古生物同样有效，不过对肉山无效。 ', '[毁灭 ] 猛击地面，触手向各个方向穿出，伤害并眩晕附近所有敌方单位。  tips: 毁灭能伤害隐身单位。 毁灭以775的速度向外扩散。 ']","['天赋1：', '+100 巨浪伤害', '+20 移动速度', '天赋2：', '+25% 锚击降低攻击力', '+40% 经验获取', '天赋3：', '-5 巨浪降低护甲', '+30 海妖外壳格挡伤害', '天赋4：', '+250 攻击力', '25% 冷却时间减少']"
巫医,witch_doctor,49.81,http://cdn.max-c.com/app/dota2/witch_doctor@3x.png,2254555,39,"['奥术鞋', '微光披风', '阿哈利姆神杖', '魔杖', '侦查·岗哨守卫', '以太透镜', '显影之尘', '影之灵龛', '黑皇杖']","['[麻痹药剂 ] 抛出一个装满麻痹粉末的木桶，在敌人中弹跳，眩晕击中的敌人并造成伤害。  tips: 目标可以受到多次作用，只要附近有其他单位可以进行弹跳。 ', '[巫毒疗法 ] 巫医集中魔力治疗附近的友军单位。  tips: 治疗间隔为0.33秒。 对技能免疫单位有效。 ', '[巫蛊咒术 ] 对一个较小区域内所有敌方英雄施放诅咒，他们将每秒受到固定伤害，并且从诅咒开始每4秒根据失去的血量再受到爆发伤害。  tips: 受到作用的英雄如果在结算时当前血量高于原血量，则额外伤害为0。 ', '[死亡守卫 ] 持续施法 - 召唤一个死亡守卫攻击700范围内敌方英雄。最多持续8秒。  可用神杖升级。  tips: 死亡守卫是无敌的，只有在巫医被打断或持续时间结束后才会被摧毁。 死亡守卫可以受到控制，选择攻击特定目标。 死亡守卫每0.22秒攻击一次。 ']","['天赋1：', '+6 护甲', '+75 攻击力', '天赋2：', '+120 金钱/分', '+2 麻痹药剂弹跳', '天赋3：', '+1 巫蛊咒术爆发次数', '+125 死亡守卫攻击距离', '天赋4：', '+75 死亡守卫攻击力', '+1.5% 巫毒疗法最大生命值']"
